provinsi,jumlah balita,stunting (pendek),stunting (sangat pendek),persentase stunting
ACEH,50132,6740,4280,22.0
SUMATERA UTARA,122604,5276,7458,10.4
SUMATERA BARAT,85042,11808,4848,19.6
RIAU,122977,4901,2812,6.3
JAMBI,31260,1395,576,6.3
SUMATERA SELATAN,25560,1853,875,10.7
BENGKULU,17217,1547,376,11.2
LAMPUNG,135277,5409,1795,5.3
KEPULAUAN BANGKA BELITUNG,37790,1261,367,4.3
KEPULAUAN RIAU,15212,1081,318,9.2
JAWA BARAT,2070447,157721,52363,10.1
JAWA TENGAH,479185,36525,20688,11.9
DI YOGYAKARTA,69742,5281,1156,9.2
JAWA TIMUR,871244,77977,21850,11.5
BANTEN,161092,4449,0,2.8
BALI,52468,3394,1271,8.9
NUSA TENGGARA BARAT,367370,51672,22388,20.2
NUSA TENGGARA TIMUR,275548,46678,26699,26.6
KALIMANTAN BARAT,25095,4013,2078,24.3
KALIMANTAN TENGAH,20496,2796,1609,21.5
KALIMANTAN SELATAN,36578,6644,841,20.5
KALIMANTAN TIMUR,13356,1627,315,14.5
KALIMANTAN UTARA,9434,1705,1002,28.7
SULAWESI UTARA,15994,181,95,1.7
SULAWESI SELATAN,50285,2254,1071,6.6
SULAWESI TENGGARA,18576,1141,1647,15.0
GORONTALO,40485,3004,1496,11.1
SULAWESI BARAT,70915,11195,4889,22.7
MALUKU,69296,3349,1213,6.6
MALUKU UTARA,23542,1689,505,9.3
