provinsi,jumlah balita,stunting (pendek),stunting (sangat pendek),persentase stunting
ACEH,415223,24944,8291,8.0
SUMATERA UTARA,885988,32089,16733,5.5
SUMATERA BARAT,348522,27846,8112,10.3
RIAU,418300,13280,4152,4.2
JAMBI,239147,6836,2878,4.1
SUMATERA SELATAN,590994,13655,4689,3.1
BENGKULU,116001,4656,946,4.8
LAMPUNG,520923,18609,4941,4.5
KEPULAUAN BANGKA BELITUNG,104378,3214,863,3.9
KEPULAUAN RIAU,110753,4112,1284,4.9
DKI JAKARTA,415345,3751,1409,1.2
JAWA BARAT,3219522,166920,54145,6.9
JAWA TENGAH,1964618,144013,40351,9.4
DI YOGYAKARTA,168523,12240,3212,9.2
JAWA TIMUR,2007261,142628,47500,9.5
BANTEN,781607,32675,20679,6.8
BALI,156831,5503,1480,4.5
NUSA TENGGARA BARAT,416534,51197,26019,18.5
NUSA TENGGARA TIMUR,401033,65912,23786,22.4
KALIMANTAN BARAT,273461,31931,12526,16.3
KALIMANTAN TENGAH,150999,10961,4339,10.1
KALIMANTAN SELATAN,255436,18218,5611,9.3
KALIMANTAN TIMUR,119419,11935,4206,13.5
KALIMANTAN UTARA,29202,3578,1189,16.3
SULAWESI UTARA,133139,2443,637,2.3
SULAWESI TENGAH,164282,16452,5135,13.1
SULAWESI SELATAN,584481,40582,12241,9.0
SULAWESI TENGGARA,177593,14498,5112,11.0
GORONTALO,81871,4581,1551,7.5
SULAWESI BARAT,99033,17247,5656,23.1
MALUKU,104225,7678,2573,9.8
MALUKU UTARA,59085,5578,1667,12.3
PAPUA BARAT,35551,3081,1157,11.9
PAPUA,38912,2646,878,9.1
PAPUA PEGUNUNGAN,78435,1105,724,2.3
PAPUA SELATAN,19948,1449,1847,16.5
PAPUA TENGAH,59115,4672,3258,13.4
PAPUA BARAT DAYA,51091,4393,2352,13.2
