provinsi,jumlah balita,stunting (pendek),stunting (sangat pendek),persentase stunting
ACEH,392733,22302,7009,7.5
SUMATERA UTARA,893706,29736,10417,4.5
SUMATERA BARAT,393475,27742,7028,8.8
RIAU,373092,8376,2687,3.0
JAMBI,210739,5734,2013,3.7
SUMATERA SELATAN,608963,8085,2900,1.8
BENGKULU,114545,4193,928,4.5
LAMPUNG,530564,15816,5062,3.9
KEPULAUAN BANGKA BELITUNG,106202,2602,797,3.2
KEPULAUAN RIAU,121877,3485,1105,3.8
DKI JAKARTA,472113,3489,1428,1.0
JAWA BARAT,3172354,141451,57256,6.3
JAWA TENGAH,2051484,146720,40584,9.1
DI YOGYAKARTA,161908,11628,2727,8.9
JAWA TIMUR,2116757,114303,32774,6.9
BANTEN,850690,23617,10048,4.0
BALI,176264,4457,1259,3.2
NUSA TENGGARA BARAT,437528,53313,16011,15.8
NUSA TENGGARA TIMUR,433605,55946,19572,17.4
KALIMANTAN BARAT,229182,29520,10640,17.5
KALIMANTAN TENGAH,123753,9180,3275,10.1
KALIMANTAN SELATAN,260535,17149,5396,8.7
KALIMANTAN TIMUR,173896,13305,4422,10.2
KALIMANTAN UTARA,45395,3075,973,8.9
SULAWESI UTARA,130740,2272,875,2.4
SULAWESI TENGAH,183063,15829,4941,11.3
SULAWESI SELATAN,594685,37464,11180,8.2
SULAWESI TENGGARA,164785,12802,4228,10.3
GORONTALO,82153,3158,1114,5.2
SULAWESI BARAT,102141,17624,6069,23.2
MALUKU,153429,6051,1967,5.2
MALUKU UTARA,296948,15196,5080,6.8
PAPUA BARAT,30992,2493,884,10.9
PAPUA,42788,3624,1060,10.9
PAPUA PEGUNUNGAN,85386,1404,770,2.5
PAPUA SELATAN,61969,6654,1835,13.7
PAPUA TENGAH,35241,2510,928,9.8
PAPUA BARAT DAYA,35907,1698,806,7.0
