provinsi,jumlah balita,stunting (pendek),stunting (sangat pendek),persentase stunting
ACEH,273612,23128,9889,12.1
SUMATERA UTARA,749867,31384,18833,6.7
SUMATERA BARAT,243596,27495,9271,15.1
RIAU,394324,17531,6256,6.0
JAMBI,151086,3375,1181,3.0
SUMATERA SELATAN,385039,12054,4910,4.4
BENGKULU,52920,2855,505,6.3
LAMPUNG,484108,22026,7491,6.1
KEPULAUAN BANGKA BELITUNG,58252,2727,728,5.9
KEPULAUAN RIAU,81226,4492,1619,7.5
DKI JAKARTA,371515,8583,3378,3.2
JAWA BARAT,3149244,195497,65162,8.3
JAWA TENGAH,2046602,144654,40021,9.0
DI YOGYAKARTA,168436,14158,3616,10.6
JAWA TIMUR,2024518,155666,60639,10.7
BANTEN,859736,38623,18735,6.7
BALI,96944,3759,1062,5.0
NUSA TENGGARA BARAT,368865,57641,22410,21.7
NUSA TENGGARA TIMUR,385605,62154,25056,22.6
KALIMANTAN BARAT,158415,22854,10401,21.0
KALIMANTAN TENGAH,77593,4545,3863,10.8
KALIMANTAN SELATAN,246865,19511,6079,10.4
KALIMANTAN TIMUR,100733,9261,2646,11.8
KALIMANTAN UTARA,27191,3714,1315,18.5
SULAWESI UTARA,34033,755,252,3.0
SULAWESI TENGAH,76969,7768,2409,13.2
SULAWESI SELATAN,477666,37736,12088,10.4
SULAWESI TENGGARA,50781,6251,3137,18.5
GORONTALO,52781,3302,1206,8.5
SULAWESI BARAT,88660,12516,4618,19.3
MALUKU,167203,8460,2905,6.8
MALUKU UTARA,34073,3481,951,13.0
PAPUA BARAT,32695,2937,1248,12.8
PAPUA,33401,2788,1030,11.4
PAPUA PEGUNUNGAN,16771,849,413,7.5
PAPUA SELATAN,47563,4101,2111,13.1
PAPUA TENGAH,39922,1728,924,6.6
PAPUA BARAT DAYA,20401,1693,1126,13.8
