provinsi,jumlah balita,stunting (pendek),stunting (sangat pendek),persentase stunting
ACEH,160248,12987,8428,13.4
SUMATERA UTARA,490625,18253,15307,6.8
SUMATERA BARAT,107288,13513,5278,17.5
RIAU,184654,8970,5270,7.7
JAMBI,49707,2377,1391,7.6
SUMATERA SELATAN,295818,4741,1956,2.3
BENGKULU,35121,2439,483,8.3
LAMPUNG,164506,6618,2137,5.3
KEPULAUAN BANGKA BELITUNG,31016,784,243,3.3
KEPULAUAN RIAU,15258,1085,318,9.2
DKI JAKARTA,133380,55,17,0.1
JAWA BARAT,1724422,110259,44594,9.0
JAWA TENGAH,595443,50741,27147,13.1
DI YOGYAKARTA,101048,9460,2592,11.9
JAWA TIMUR,1253391,110060,34699,11.5
BANTEN,284097,11679,2236,4.9
BALI,66071,4577,1621,9.4
NUSA TENGGARA BARAT,367370,51672,22388,20.2
NUSA TENGGARA TIMUR,273537,45905,26073,26.3
KALIMANTAN BARAT,42381,7885,3731,27.4
KALIMANTAN TENGAH,30385,4357,2376,22.2
KALIMANTAN SELATAN,59214,6055,1701,13.1
KALIMANTAN TIMUR,13356,1627,315,14.5
KALIMANTAN UTARA,13701,2507,1423,28.7
SULAWESI UTARA,35367,1361,522,5.3
SULAWESI TENGAH,39127,3588,1780,13.7
SULAWESI SELATAN,292427,25026,9756,11.9
SULAWESI TENGGARA,56634,5782,3703,16.7
GORONTALO,52916,3886,1938,11.0
SULAWESI BARAT,70915,11195,4889,22.7
MALUKU,95958,5809,2159,8.3
MALUKU UTARA,23542,1689,505,9.3
PAPUA BARAT,34574,3298,838,12.0
PAPUA,82440,1921,1918,4.7
PAPUA PEGUNUNGAN,3725,184,34,5.9
PAPUA SELATAN,22049,1909,575,11.3
PAPUA TENGAH,6720,737,377,16.6
PAPUA BARAT DAYA,10377,1086,753,17.7
